包头,x,y,z,状态,休息,采食,活动,爬跨,反刍,其他,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3,-16,211,-308,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-13,209,-298,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-9,208,-298,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-15,199,-305,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-10,192,-311,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-8,183,-336,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,24,188,-361,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,35,177,-359,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,1,167,-357,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-41,152,-368,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-49,124,-354,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-29,135,-341,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-4,150,-338,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,19,172,-328,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,33,163,-297,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,30,227,-330,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,6,127,-313,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-10,167,-325,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-8,158,-301,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,7,137,-333,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,6,158,-340,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,7,172,-333,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,1,182,-321,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-10,182,-320,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-26,176,-324,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-32,176,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-33,177,-313,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-24,184,-320,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-4,176,-332,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,11,163,-336,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,19,153,-345,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,3,153,-343,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-18,176,-344,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-32,184,-336,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-33,187,-328,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-31,185,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-36,179,-308,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-31,179,-292,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-34,188,-281,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-41,187,-282,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-42,179,-292,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-36,163,-306,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-23,167,-314,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-13,172,-320,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-49,227,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-45,233,-328,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-32,222,-333,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-37,192,-330,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-52,151,-328,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-57,131,-322,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-60,136,-313,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-63,166,-305,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-61,188,-300,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-64,185,-300,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-57,179,-305,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-44,176,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-29,182,-316,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-7,193,-329,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,3,206,-329,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-16,204,-328,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-48,191,-314,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-66,184,-304,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-74,172,-295,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-77,175,-303,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-68,159,-306,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-57,142,-309,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-41,135,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-26,163,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-10,190,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-10,200,-320,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-31,200,-324,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-49,188,-329,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-64,176,-324,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-61,179,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-52,185,-309,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-45,185,-301,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-49,188,-301,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-49,183,-296,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-52,176,-301,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-52,172,-298,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-40,172,-303,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-32,179,-309,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-25,184,-317,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-29,188,-324,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-34,198,-330,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-45,199,-329,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-47,188,-327,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-49,179,-321,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-57,176,-313,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-61,176,-306,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-58,182,-301,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-52,185,-290,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-45,192,-295,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-33,188,-298,250,0,0,2,0,135,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-29,179,-305,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-36,183,-281,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-33,176,-320,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-39,179,-333,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-40,191,-330,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-49,203,-328,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-53,198,-313,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-58,192,-312,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-58,182,-308,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-119,176,-309,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-45,168,-298,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-39,171,-288,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-41,172,-296,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-41,180,-305,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-37,182,-311,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-32,188,-314,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-28,192,-328,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-31,192,-329,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-47,190,-327,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-57,188,-320,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
